week_start,tv_spend,digital_spend,social_spend,revenue
2024-06-09,4492.3,4187.41,1409.39,80970.75
2024-06-16,5674.51,6170.14,1388.36,78541.29
2024-06-23,7094.22,4823.53,1987.99,70871.25
2024-06-30,4108.89,4009.4,2889.01,66891.61
2024-07-07,9632.7,4614.34,1380.94,68919.36
2024-07-14,5897.88,5495.52,1862.67,68848.55
2024-07-21,17759.02,4323.53,4128.69,88409.76
2024-07-28,6341.81,4013.34,224.24,73371.63
2024-08-04,8009.87,5292.42,1745.62,75146.88
2024-08-11,13307.8,5293.96,3748.48,85012.96
2024-08-18,4961.47,4391.67,6767.3,78123.17
2024-08-25,3968.45,4434.75,2150.34,67595.71
2024-09-01,10153.99,5278.46,2278.59,74776.92
2024-09-08,10501.78,3262.3,680.17,71000.42
2024-09-15,13135.08,3311.04,1779.43,74771.68
2024-09-22,11774.87,4137.87,2281.82,79429.01
2024-09-29,10676.15,4743.86,1666.16,82036.88
2024-10-06,6692.8,5373.09,1882.05,77473.27
2024-10-13,10373.17,6770.43,1420.99,85897.73
2024-10-20,10657.68,6029.19,121.65,80364.87
2024-10-27,6574.68,4808.07,1166.17,75299.27
2024-11-03,19937.85,4977.18,1425.34,93394.41
2024-11-10,11533.85,3796.96,1190.25,85988.7
2024-11-17,5723.81,4977.78,765.38,75708.44
2024-11-24,13163.65,4653.61,6636.24,87412.88
2024-12-01,14144.98,5387.26,2701.2,99393.97
2024-12-08,11232.75,4007.32,3409.9,92394.2
2024-12-15,8312.77,5623.22,4670.13,90371.52
2024-12-22,6440.88,6839.29,2070.11,85832.9
2024-12-29,9004.16,4869.49,545.59,79542.25
2025-01-05,10886.23,5482.05,2310.78,88689.78
2025-01-12,9389.62,5828.17,2651.77,87719.44
2025-01-19,17127.13,4518.54,4104.65,94217.97
2025-01-26,12305.9,5268.91,1695.1,95234.72
2025-02-02,6098.21,5015.11,818.91,81669.33
2025-02-09,5428.98,5117.21,1001.29,70084.03
2025-02-16,11576.89,4072.39,1353.34,77274.24
2025-02-23,8400.77,5029.41,3114.67,79953.71
2025-03-02,12770.51,5597.6,2537.35,90576.28
2025-03-09,11530.89,6741.37,1320.62,97108.53
2025-03-16,9022.2,6151.12,12918.59,105015.17
2025-03-23,6131.99,7583.82,2792.5,92255.08
2025-03-30,4199.09,4079.18,1624.77,68377.15
2025-04-06,10289.22,6046.78,644.06,82333.02
2025-04-13,4919.41,5220.01,995.33,70446.99
2025-04-20,6011.76,7627.76,1693.84,77315.71
2025-04-27,10013.38,4030.04,1050.99,72228.28
2025-05-04,9587.09,3992.33,1238.95,73252.48
2025-05-11,5214.86,4280.73,1006.82,66810.09
2025-05-18,14838.21,2451.33,1142.41,73671.25
2025-05-25,14666.74,4369.09,6812.25,93574.74
2025-06-01,11740.07,4089.04,501.81,88222.46
2025-06-08,11733.78,5180.47,2230.24,91085.38
2025-06-15,11740.13,5410.11,1584.92,91320.97
2025-06-22,37835.69,7251.41,12115.93,158208.69
2025-06-29,14091.61,6140.51,712.96,130414.57
2025-07-06,12440.02,4307.72,1521.77,112352.27
2025-07-13,6376.69,3921.9,10467.18,95418.82
2025-07-20,8347.09,5590.3,6018.73,96437.82
2025-07-27,23330.79,3415.72,5095.99,110942.84
2025-08-03,3367.03,7197.75,1789.65,90503.32
2025-08-10,7439.23,6415.33,1124.4,84354.53
2025-08-17,14872.96,4436.99,3313.68,89079.8
2025-08-24,6571.42,2944.24,7951.16,78018.56
2025-08-31,12588.2,6624.65,2440.95,90688.5
2025-09-07,9531.61,4862.55,2543.18,82776.95
2025-09-14,6791.67,6485.38,1970.85,84408.81
2025-09-21,3033.06,3086.69,4402.42,64607.52
2025-09-28,10162.31,4280.75,1242.47,70548.65
2025-10-05,6310.91,5006.29,1173.26,68598.08
2025-10-12,8846.34,5056.38,1662.43,69665.96
2025-10-19,11689.55,4459.92,2125.45,76196.3
2025-10-26,13595.76,5747.42,1665.68,88973.42
2025-11-02,7428.04,3718.86,731.9,72623.6
2025-11-09,6785.63,4829.14,2829.6,75285.0
2025-11-16,4876.84,5144.35,1021.69,67602.94
2025-11-23,13887.11,5617.33,2611.36,83308.4
2025-11-30,21832.17,5853.94,1005.99,109770.57
2025-12-07,14542.49,3650.43,1968.36,103030.51
2025-12-14,15946.78,3159.06,2281.64,102081.33
2025-12-21,6597.56,6533.21,319.29,98019.55
